10-13 17:17:03 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Starting the loops on the files... | <module> (l. 356)
10-13 17:17:03 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | MIP: ScenarioMIP | <module> (l. 360)
10-13 17:17:03 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | MODEL GROUP: AS-RCEC | <module> (l. 364)
10-13 17:17:03 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | MODEL: TaiESM1 | <module> (l. 367)
10-13 17:17:03 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | In MODEL DIR: ['ssp370', 'ssp585', 'ssp245', 'ssp126'] | <module> (l. 370)
10-13 17:17:03 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | SCENARIO: ssp585 | <module> (l. 375)
10-13 17:17:03 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | RUN: r1i1p1f1 | <module> (l. 379)
10-13 17:17:03 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | DOMAIN: SImon | <module> (l. 382)
10-13 17:17:03 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VAR: siconc | <module> (l. 388)
10-13 17:17:03 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | GRID: gn | <module> (l. 393)
10-13 17:17:03 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VERS: v20211004 | <module> (l. 397)
/work/users/lembo/miniconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4737: UserWarning: Warning: 'partition' will ignore the 'mask' of the MaskedArray.
  arr.partition(
10-13 17:17:20 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 9 of 11 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:17:21 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 10 of 11 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:17:22 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 2 of 4 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:17:23 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 3 of 4 for criterion maxch passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:17:25 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 0 of 7 for criterion pc_99 passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:17:26 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 4 of 7 for criterion pc_99 passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:17:27 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 3 of 5 for criterion combine passes the threshold for the area | plotting_clusters (l. 279)
10-13 17:17:28 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | DOMAIN: Amon | <module> (l. 382)
10-13 17:17:28 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VAR: tas | <module> (l. 388)
10-13 17:17:28 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | GRID: gn | <module> (l. 393)
10-13 17:17:28 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | VERS: v20200901 | <module> (l. 397)
/work/users/lembo/miniconda3/lib/python3.9/site-packages/numpy/lib/function_base.py:4737: UserWarning: Warning: 'partition' will ignore the 'mask' of the MaskedArray.
  arr.partition(
10-13 17:18:01 | /home/lembo/tipping_optimesm/optimesm-tipping/hunt_CMIP6.py | INFO     | Cluster 6 of 7 for criterion std passes the threshold for the area | plotting_clusters (l. 279)
